lead_day,domain,threshold,model,categorical_forecast_source,categorical_event_rule,probabilistic_score_source,bss_reference,n_init,n_samples,n_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score,sum_squared_error,sum_clim_squared_error
Day7,CONUS,1inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,10400,0.02892214936065364,0,10400,0,349186,0.0,,0.0,0.026918525620079486,0.027669411313956352,0.02713775458960055,9679.524953621902,9949.532936740308
Day7,CONUS,1inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,10400,0.02892214936065364,10,10390,16,349170,0.0009615384615384616,0.6153846153846154,0.0009600614439324117,0.02737500652428983,0.027669411313956352,0.010640081435994486,9843.669096043282,9949.532936740308
Day1,CONUS,2inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,506084,3291,0.00650287304083907,26,3265,36,502757,0.007900334244910361,0.5806451612903226,0.007814848211602044,0.006041836108807664,0.006445866935182949,0.06268060300314238,3057.676585289818,3262.1501220251275
Day1,CONUS,2inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,506084,3291,0.00650287304083907,86,3205,222,502571,0.026131874810088117,0.7207792207792207,0.02448050099629946,0.006327397410314507,0.006445866935182949,0.018379145281732234,3202.194591001607,3262.1501220251275
Day2,CONUS,2inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,492766,3250,0.006595422573797706,0,3250,32,489484,0.0,1.0,0.0,0.0062761487802824095,0.006536154086713763,0.039779555833892255,3092.672729864642,3220.794504693594
Day2,CONUS,2inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,492766,3250,0.006595422573797706,2,3248,46,489470,0.0006153846153846154,0.9583333333333334,0.0006067961165048543,0.006565761389274107,0.006536154086713763,-0.0045297742628997995,3235.3839767470445,3220.794504693594
Day3,CONUS,2inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,479448,3084,0.0064323972568453725,0,3084,0,476364,0.0,,0.0,0.006238559226873838,0.006375908680856721,0.021541941840426126,2991.0647442062077,3056.9166652193935
Day3,CONUS,2inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,479448,3084,0.0064323972568453725,20,3064,29,476335,0.00648508430609598,0.5918367346938775,0.006424670735624799,0.0063022072169586175,0.006375908680856721,0.011559366293841022,3021.5806457563754,3056.9166652193935
Day4,CONUS,2inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,35,466130,3194,0.006852165704846288,0,3194,0,462936,0.0,,0.0,0.006768308329482845,0.0067871026514805,0.002769122991466033,3154.9115616218387,3163.6721589346057
Day4,CONUS,2inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,35,466130,3194,0.006852165704846288,0,3194,0,462936,0.0,,0.0,0.0067547286947797075,0.0067871026514805,0.004769922949924843,3148.581686497665,3163.6721589346057
Day5,CONUS,2inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,34,452812,2888,0.00637792284656767,0,2888,0,449924,0.0,,0.0,0.006539927448444996,0.006325030863014278,-0.033975578947342155,2961.3576277852753,2864.049875143221
Day5,CONUS,2inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,34,452812,2888,0.00637792284656767,0,2888,0,449924,0.0,,0.0,0.006356192523505384,0.006325030863014278,-0.0049267207016054915,2878.16024895352,2864.049875143221
Day6,CONUS,2inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,2361,0.006565884100048389,0,2361,0,357225,0.0,,0.0,0.006696604281651938,0.006513242366366987,-0.02815217137194126,2408.005147222094,2342.0707695524393
Day6,CONUS,2inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,2361,0.006565884100048389,0,2361,0,357225,0.0,,0.0,0.006481653229498235,0.006513242366366987,0.004849986395696226,2330.7117581823522,2342.0707695524393
Day7,CONUS,2inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,2312,0.0064296162809453095,0,2312,0,357274,0.0,,0.0,0.0063395083888657605,0.006376193013436126,0.0057533742302127155,2279.5984635186833,2292.789740929443
Day7,CONUS,2inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,2312,0.0064296162809453095,0,2312,0,357274,0.0,,0.0,0.006369904877816531,0.006376193013436126,0.0009861896599341335,2290.5286153945353,2292.789740929443
Day1,CONUS,2yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,484614,838,0.0017292112898100343,8,830,10,483766,0.00954653937947494,0.5555555555555556,0.009433962264150943,0.0017282303039273775,0.0017317776951255805,0.0020484102596931564,837.5246005074621,839.2437159455881
Day1,CONUS,2yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,38,484614,838,0.0017292112898100343,15,823,33,483743,0.017899761336515514,0.6875,0.01722158438576349,0.0017521889083705587,0.0017317776951255805,-0.011786277939962675,849.13527564109,839.2437159455881
Day2,CONUS,2yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,471861,797,0.0016890567349282946,0,797,0,471064,0.0,,0.0,0.0016877094145894016,0.0016919238559895706,0.0024909167071848204,796.3642520775696,798.3528826110947
Day2,CONUS,2yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,471861,797,0.0016890567349282946,0,797,1,471063,0.0,1.0,0.0,0.0017267977907473797,0.0016919238559895706,-0.020612000140758147,814.8085323398493,798.3528826110947
Day3,CONUS,2yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,459108,766,0.0016684527387891303,1,765,0,458342,0.0013054830287206266,0.0,0.0013054830287206266,0.0016592747763197135,0.0016715646774628154,0.007352333600250671,761.786324006591,767.4287159405983
Day3,CONUS,2yr24h_ari,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,459108,766,0.0016684527387891303,5,761,1,458341,0.006527415143603133,0.16666666666666666,0.00651890482398957,0.0016563494596099077,0.0016715646774628154,0.009102380576743285,760.4432877025855,767.4287159405983
Day4,CONUS,2yr24h_ari,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,35,446355,799,0.0017900550010641755,0,799,0,445556,0.0,,0.0,0.0017877627986762317,0.0017926291711907964,0.0027146565462460304,797.9768640031294,800.1489937068679
